Exporter,Importer,Trade_Value_USD,Year,Flow,Exporter_Region,Importer_Region
AGO,ARE,41272674.682,2020,Export,Africa,Middle East
AGO,BEL,4502848.012,2020,Export,Africa,Europe / CIS
AGO,BRA,97289645.425,2020,Export,Africa,Americas
AGO,CAN,94893903.935,2020,Export,Africa,Americas
AGO,CHL,85813912.599,2020,Export,Africa,Americas
AGO,CHN,13177932927.526,2020,Export,Africa,Asia / Pacific
AGO,COD,572404.089,2020,Export,Africa,Africa
AGO,COG,211047.8,2020,Export,Africa,Africa
AGO,ESP,459165868.802,2020,Export,Africa,Europe / CIS
AGO,FRA,351101122.727,2020,Export,Africa,Europe / CIS
AGO,GBR,654.11,2020,Export,Africa,Europe / CIS
AGO,GRC,8756786.046,2020,Export,Africa,Europe / CIS
AGO,IDN,14606439.832,2020,Export,Africa,Asia / Pacific
AGO,IND,1602005705.744,2020,Export,Africa,Asia / Pacific
AGO,ISR,75121344.129,2020,Export,Africa,Middle East
AGO,ITA,296197726.869,2020,Export,Africa,Europe / CIS
AGO,JPN,51502569.189,2020,Export,Africa,Asia / Pacific
AGO,KOR,55636056.471,2020,Export,Africa,Asia / Pacific
AGO,KWT,46840801.079,2020,Export,Africa,Middle East
AGO,MAR,12043685.667,2020,Export,Africa,Africa
AGO,MMR,43512678.987,2020,Export,Africa,Asia / Pacific
AGO,MYS,51551785.223,2020,Export,Africa,Asia / Pacific
AGO,NLD,231732251.092,2020,Export,Africa,Europe / CIS
AGO,NOR,82249803.512,2020,Export,Africa,Europe / CIS
AGO,PAK,12366782.847,2020,Export,Africa,Asia / Pacific
AGO,PHL,12836394.755,2020,Export,Africa,Asia / Pacific
AGO,PRT,250761808.711,2020,Export,Africa,Europe / CIS
AGO,SGP,423236146.541,2020,Export,Africa,Asia / Pacific
AGO,TGO,87070089.48,2020,Export,Africa,Africa
AGO,THA,876438315.237,2020,Export,Africa,Asia / Pacific
AGO,TUR,65009151.561,2020,Export,Africa,Asia / Pacific
AGO,USA,341047087.887,2020,Export,Africa,Americas
